w_book,w_click,ndcg5
1,2.0,0.3184190347060166
1,1.0,0.3176714310886736
1,0.5,0.3175564347603965
3,2.0,0.3175132095955896
3,1.0,0.3173716478765796
5,2.0,0.3173352312467443
7,2.0,0.3171174669980408
10,2.0,0.31690634834383075
5,1.0,0.31690634834383075
3,0.5,0.3167082303203259
7,1.0,0.31648288346276254
15,2.0,0.31634160094471336
7,0.5,0.316236195445565
10,1.0,0.3162331373344036
20,2.0,0.3162331373344036
5,0.5,0.3162331373344036
15,1.0,0.31619774797472555
10,0.5,0.31615521452699985
20,1.0,0.31615521452699985
20,0.5,0.31595533537898496
15,0.5,0.3159101771452893
7,0.0,0.3159036272780623
10,0.0,0.3159036272780623
5,0.0,0.3159036272780623
15,0.0,0.3159036272780623
3,0.0,0.3159036272780623
20,0.0,0.3159036272780623
1,0.0,0.3159036272780623
