C,penalty,ndcg5
0.01,l1,0.32485929178628287
0.01,l2,0.32484600442235084
0.1,l1,0.32484581229999043
0.1,l2,0.32484581229999043
1.0,l1,0.32484581229999043
1.0,l2,0.32484581229999043
10.0,l1,0.32484581229999043
10.0,l2,0.32484581229999043
0.001,l2,0.32480982715782003
0.001,l1,0.3241015055565889
